FIPS,y,BreachesPer100K,CensusMean,OpProfitMargin,CapitalExp,OpIncome,AR,BadDebt,BedUtil,OutpatientVisits,ALOS,Pop2020,PopDensity,Native,Hispanic,Black,Asian,Prop65,UE2019,Poverty,AcuteBeds,CMI,PedTrauma,MedCenter
18109,0,0,17.2,0.347,9425379,48638792,25741379,10271678,0.174,63609,2.9,70489,67.39344145,0.001,0.015,0.003,0.007164238,0.173,3.1,10.6,83,1.85,0,0
18127,0,0,141.4,0.139,3093645,42061226,70367564,19611894,0.594,152728,5.1,170389,157.3605821,0.002,0.098,0.033,0.01346331,0.169,3.7,8.9,238,1.77,0,0
18135,0,0,3.3,0.13,473359,3360588,8291343,4201128,0.13,50300,2.6,24665,21.05138801,0.001,0.034,0.007,0.001094669,0.208,3.7,13.6,25,1.04,0,0
18141,3,1.103647186,417.775,0.08975,62372749.75,111826787.3,386922391.3,58988482.5,0.56775,356882.5,5.1,271826,229.2113532,0.003,0.085,0.128,0.022672592,0.162,3.6,13.5,673,2.24,0,0
18157,1,0.510902663,112.8,0.004,21950637.5,284964.5,57066435.5,20178750,0.6115,116631.5,4.35,195732,151.4761938,0.002,0.082,0.05,0.078566611,0.119,2.9,18.1,373,1.795,0,0
18163,0,0,147.2,0.152,29461591,97140403,218264044,18614990,0.436,194044,3.9,181451,299.8169516,0.001,0.026,0.094,0.012174086,0.174,3.1,15.1,939,1.74,1,0
18167,0,0,102.85,0.152,33713998,34903193.5,40521457.5,15132304,0.4685,83195.5,4.2,107038,102.4100151,0.002,0.026,0.065,0.018946542,0.167,4.3,19.2,397,1.66,0,0
18179,0,0,10.9,-0.113,1161743,-4252457,10218318,2096917,0.32,48557,4,28296,29.68087153,0.001,0.029,0.007,0.00462963,0.186,2.7,8.5,55,1.19,0,0
19007,0,0,4.2,-0.117,1348500,-4097251,5106520,816365,0.168,26340,3.1,12426,9.647673868,0.002,0.019,0.006,0.005472397,0.229,3.6,15.2,25,1.13,0,0
19013,0,0,80.95,0.0485,28239707.5,11982247.5,60760205,3600007,0.458,233622,4.8,131228,89.5389754,0.003,0.043,0.09,0.023478221,0.169,3.2,16.3,384,1.587,0,0
19021,0,0,6.8,-0.076,502866,-4323982,8535857,905383,0.27,32093,2.8,19620,13.17678916,0,0.252,0.027,0.109836901,0.167,2.1,10.2,25,1.27,0,0
19033,1,2.355712603,114.8,-0.302,2571123,-108319597,165159705,7225899,0.595,341624,5.5,42450,28.84046403,0.003,0.047,0.017,0.011354535,0.223,2.7,10.4,205,1.88,0,0
19045,0,0,29.4,-0.099,10728040,-12504364,59424922,3281194,0.275,58188,3.8,46429,25.79648806,0.004,0.031,0.027,0.007387624,0.199,3.7,12.5,120,1.325,0,0
19057,0,0,54.9,-0.095,2737924,-18685811,112024963,4060997,0.404,190192,4.6,38967,36.15519712,0.001,0.03,0.059,0.008160751,0.212,4,12.7,136,1.6,0,0
19059,0,0,11.4,-0.024,10202891,-1308290,7472128,1072222,0.259,53156,4.1,17258,17.51117186,0.003,0.02,0.007,0.00811218,0.267,2.9,7.8,44,1.4,0,0
19061,0,0,59.25,-0.078,22056921,-12582496.5,53321919.5,3096457,0.4625,30503.5,4.25,97311,61.76562519,0.001,0.024,0.034,0.01201303,0.183,2.6,11.3,257,1.303,0,0
19099,0,0,7.1,-0.117,2159792,-4031744,16214070,1215093,0.147,29588,4.5,37185,19.65628976,0.002,0.021,0.019,0.004733091,0.195,2.9,10.2,48,1.22,0,0
19103,3,1.984914649,388.0666667,-0.041,64232459.33,8558124.667,266652256,31943273.33,0.616666667,558092.3333,5.966666667,151140,95.19790261,0.002,0.056,0.067,0.061135371,0.123,2,15.8,934,1.99,0,1
19109,0,0,11.6,-0.09,1301814,-3200823,4120577,697599,0.484,21539,3.2,14813,5.879663665,0.001,0.024,0.011,0.005535678,0.244,2.2,10.1,24,1.05,0,0
19113,0,0,151.9,0.277,15663368,88160207,132621982,9243224,0.448,174148,4.7,226706,122.0652631,0.002,0.032,0.052,0.022959251,0.163,2.9,9.4,495,1.685,0,0
19127,0,0,9.8,-0.082,8869081,-4661638,23854901,2564985,0.363,52882,3.4,39369,26.55087368,0.001,0.213,0.009,0.036907211,0.185,4.5,11.3,41,1.51,0,0
19139,0,0,6.7,-0.089,1363198,-4202649,18548981,2457996,0.23,50728,3,42664,37.65654013,0.002,0.178,0.023,0.009328708,0.172,2.9,11.8,45,1.28,0,0
19147,0,0,6,-0.068,2011055,-1943301,2752155,497871,0.251,17247,2.4,8886,6.084669141,0.002,0.027,0.022,0.005289219,0.221,2.2,9.7,24,0.98,0,0
19153,1,0.204014599,800.52,0.0756,81795496,257513772,817292524.2,54587682.2,0.605,879096.2,4.92,490161,330.7371909,0.002,0.082,0.064,0.04387946,0.135,2.8,9.9,1298,1.688,1,0
19155,0,0,61.7,-0.0475,16202047,-4727141,30505740.5,4841333.5,0.5,64380,4.2,93206,37.86040241,0.003,0.076,0.014,0.00676995,0.18,2.4,11.8,255,1.51,0,0
19157,0,0,10.7,-0.132,13859774,-6444349,18627345,1613665,0.326,28265,3.9,18504,12.2143035,0,0.032,0.019,0.021400778,0.214,2.7,10.6,49,1.3,0,0
19163,0,0,99.5,-0.007,10292806.5,-4572389,157232129,7371384,0.459,106633.5,4.15,172943,145.7665881,0.003,0.066,0.074,0.027049375,0.167,3.3,12.4,382,1.805,0,0
19179,0,0,18.4,-0.068,4741870,-5853655,15235671,5071804,0.209,25824,3.8,34969,31.26550163,0.002,0.107,0.032,0.010752381,0.184,3.7,14.7,88,1.53,0,0
19187,0,0,43.7,-0.0875,9845544,-16022977.5,22156164,4035264,0.5955,103219.5,4.8,35904,19.36907001,0.003,0.047,0.047,0.013536096,0.188,3.1,13.7,46,1.56,0,0
19193,0,0,103.1,-0.056,11380390,-9925875,56505904,6669194,0.629,78335.5,5.2,103107,45.60660436,0.015,0.162,0.031,0.028727438,0.154,2.7,13.8,316,1.68,0,0
20037,0,0,28.7,-0.145,1788962,-13301251,57891389,6841948,0.449,57481,5.1,38818,25.41279592,0.004,0.055,0.022,0.0202741,0.158,3.9,17.7,89,1.36,0,0
20045,0,0,47.8,-0.051,110705147,-15365485,42013175,16402773,0.434,153994,3.4,122259,103.5740009,0.021,0.062,0.041,0.050949214,0.128,2.9,17,110,1.53,0,0
20055,0,0,32.3,-0.017,3896061,-1751621,47787743,7345941,0.358,71767,4.1,36467,10.81414383,0.003,0.495,0.024,0.040886281,0.114,2.3,13.2,90,1.42,0,0
20057,0,0,12.3,0.028,269921,1317333,7662330,10443431,0.206,21162,3.3,33619,11.81891458,0.003,0.545,0.019,0.015288973,0.113,2.5,11.6,60,1.47,0,0
20059,1,3.914813655,9.6,-0.03,3460795,-1480468,10574314,2944397,0.218,40786,3.3,25544,17.2494888,0.004,0.042,0.011,0.002857814,0.17,3.3,9.3,47,1.44,0,0
20061,0,0,8.3,-0.293,5037831,-9691089,17856997,6082933,0.17,35475,4.4,31670,31.78849894,0.011,0.16,0.169,0.034259552,0.09,4.4,10.3,49,1.24,0,0
20067,0,0,3.4,-0.371,627444,-3667934,3934112,646420,0.132,3904,6.5,7150,4.802699812,0,0.472,0,0.002657343,0.146,2.9,10.9,26,1.02,0,0
20091,0,0,296.4166667,0.059166667,45612603.67,51579775.33,155469833,34262949.67,0.527333333,182070.1667,4.4,602401,491.0954215,0.002,0.075,0.046,0.047724024,0.15,2.8,5.5,1118,1.989,0,0
20161,0,0,33.1,-0.075,-12269796,-6415933,48623689,6471965,0.385,32258,4.2,74232,47.00702453,0.003,0.083,0.062,0.05054424,0.098,2.8,20.7,99,1.84,0,0
20169,0,0,88.7,-0.312,2251664,-73263195,36826834,21501441,0.501,91580,4.4,54224,29.06801402,0.005,0.111,0.027,0.022923429,0.183,3,11,193,1.925,0,0
20173,1,0.193782677,455.2,0.061666667,24526341.67,39187297,393310405.3,50370132,0.646666667,127292,5.3,516042,199.7476675,0.007,0.144,0.086,0.043037195,0.149,3.5,13.4,1371,2.16,1,0
20177,0,0,170.35,-0.2685,28270371,-46089334,89347378.5,31005143.5,0.4595,144024,4.15,176875,125.5335134,0.007,0.122,0.08,0.014241696,0.188,3.3,13.9,654,1.725,0,0
20209,0,0,461.7333333,-0.197333333,33051923.33,-390031951,1167957484,42095704.67,0.632666667,839109.6667,5.233333333,165429,421.212267,0.003,0.284,0.221,0.043305587,0.126,4.3,18.4,1019,2.005,0,1
21009,1,2.259938078,52.2,0,12562056,97415,66477613,5935603,0.466,136677,4.4,44249,35.03936162,0.001,0.031,0.037,0.003186513,0.18,4.5,19.2,108,1.57,0,0
21017,0,0,10.9,0.051,2333036,1569716,3151354,3597687,0.322,35463,4.3,19788,26.36855327,0,0.069,0.071,0.004497675,0.197,3.8,16.5,34,1.21,0,0
21019,0,0,220.2,-0.062,15852533,-33401576,504626289,20867262,0.6,580563,4.6,46718,112.8306639,0.001,0.018,0.025,0.002846868,0.2,5.7,18.3,573,1.575,0,0
